product_name,brand,unit,product_type,price_per_unit,currency
Hammer,Lippro,Piece,Tool,2.95,USD
Hand Saw,Tekiro,Piece,Tool,3.54,USD
Measuring Tape,Stanley,Piece,Tool,1.77,USD
Screwdriver Set,Tekiro,Set,Tool,2.36,USD
Pliers,Tekiro,Piece,Tool,2.06,USD
Hoe,Camel,Piece,Tool,4.72,USD
Shovel,Camel,Piece,Tool,4.42,USD
Wheelbarrow,Artco,Piece,Tool,26.54,USD
Trowel,Lippro,Piece,Tool,1.47,USD
Plastering Float,Lippro,Piece,Tool,1.77,USD
Spirit Level,Krisbow,Piece,Tool,3.83,USD
PVC Door,Maspion,Piece,Door,20.64,USD
Wooden Door,Unbranded,Piece,Door,2.95,USD
Steel Door,WINA,Piece,Door,41.28,USD
Door Frame (Wood),Unbranded,Piece,Door Frame,14.74,USD
Door Lock,Solid,Set,Lock,5.90,USD
Door Handle,Belleza,Piece,Lock Accessory,2.95,USD
Door Hinge,Belleza,Pair,Lock Accessory,1.77,USD
Squat Toilet,INA,Piece,Sanitary,17.69,USD
Sitting Toilet,TOTO,Piece,Sanitary,70.76,USD
Water Faucet,Wasser,Piece,Sanitary,44.23,USD
Shower,American Standard,Set,Sanitary,11.79,USD
Wash Basin (Sink),TOTO,Piece,Sanitary,3.54,USD
Floor Drain,Onda,Piece,Sanitary,2.95,USD
Ceramic Tile,Roman,Box,Tile,4.42,USD
Granite Tile,Indogress,Box,Tile,8.85,USD
Plaster Mortar,Mortar Utama (MU),Sack,Mortar,2.95,USD
Skim Coat (Wall Putty),Drymix,Sack,Mortar,3.24,USD
Tile Adhesive Mortar,AM,Sack,Mortar,3.54,USD
Tile Grout,Sika,Sack,Mortar,2.65,USD
Wall Paint,Dulux,Can,Paint,7.08,USD
Paint Brush,Eterna,Piece,Paint Accessory,0.88,USD
Paint Roller,Ace Oldfields,Piece,Paint Accessory,1.47,USD
Sandpaper,Taiyo,Piece,Paint Accessory,0.29,USD
Wall Putty (Filler),Matex,Kg,Paint Accessory,1.18,USD
PVC Pipe,Wavin,Meter,Plumbing,0.88,USD
PVC Pipe,Rucika,Meter,Plumbing,0.94,USD
Water Tank,Penguin,Piece,Plumbing,88.45,USD
Electrical Cable,Supreme,Meter,Electrical,0.29,USD
Conduit Pipe,Clipsal,Meter,Electrical,0.41,USD
Lamp Bulb,Philips,Piece,Electrical,0.88,USD
Power Outlet,Panasonic,Piece,Electrical,1.18,USD
Clay Roof Tile,Kanmuri,Piece,Roof Covering,0.12,USD
Concrete Roof Tile,Monier,Piece,Roof Covering,0.21,USD
Metal Roof Tile,Multi Roof,Piece,Roof Covering,0.29,USD
Spandek / Galvalume Sheet,BlueScope,Meter,Roof Covering,5.31,USD
Asbestos Sheet,Djabesmen,Meter,Roof Covering,3.54,USD
Timber Roof Frame,Unbranded,Meter,Roof Frame,1.77,USD
Lightweight Steel Roof Frame,Taso,Meter,Roof Frame,2.65,USD
Gypsum Board,Jayaboard,Sheet,Ceiling,3.54,USD
GRC Board,KalsiBoard,Sheet,Ceiling,4.13,USD
Ceiling Cornice / Profile List,Aplus,Meter,Ceiling,0.88,USD
Tiga Roda 40 kg,Tiga Roda,Sack,Cement,3.77,USD
Tiga Roda 50 kg,Tiga Roda,Sack,Cement,4.48,USD
Holcim 40 kg,Holcim,Sack,Cement,3.30,USD
Holcim 50 kg,Holcim,Sack,Cement,4.01,USD
Gresik 40 kg,Gresik,Sack,Cement,3.36,USD
Gresik 50 kg,Gresik,Sack,Cement,4.13,IDR
Masonry Sand,Unbranded,Cubic Meter,Sand,14.74,USD
Concrete Sand,Unbranded,Cubic Meter,Sand,17.69,USD
Crushed Stone / Gravel,Unbranded,Cubic Meter,Stone,20.64,USD
River Stone,Unbranded,Cubic Meter,Stone,19.46,USD
Red Brick,Laksana,Piece,Brick,0.05,USD
Concrete Block,Bricon,Piece,Brick,0.29,USD
Lightweight Brick (AAC Block),Hebel,Piece,Brick,0.59,USD
Rebar 6mm,Krakatau Steel,Meter,Steel,0.88,USD
Rebar 8mm,Master Steel,Meter,Steel,1.18,USD
Rebar 10mm,Gunung Steel,Meter,Steel,1.47,USD
Timber Beam (Kaso),Unbranded,Piece,Wood,1.47,USD
Roof Batten (Reng),Unbranded,Piece,Wood,0.88,USD
Wooden Beam,Unbranded,Piece,Wood,2.36,USD
Formwork Board (Shuttering),Unbranded,Piece,Wood,1.77,USD
Red Concrete,Geneva Rock,Cubic Yard,Concrete,160,USD
Grey Slate Concrete,Geneva Rock,Cubic Yard,Concrete,120,USD
